label,time,error,filtered
aimai-nan,653374.0,-0.5700330720235178,False
bao-nan,3315196.0,-0.14983559186927076,False
e2e-nan,15849574.0,-0.2349012474012474,False
llm-Qwen-Qwen3-Embedding-0.6B,9550401.99,-0.6796270005162622,False
llm-Qwen-Qwen3-Embedding-4B,41914435.69,-0.8126373626373627,False
llm-Qwen-Qwen3-Embedding-8B,76382133.79,-0.9750000000000001,False
llm-answerdotai-ModernBERT-base,5418591.52,-0.5437530237058538,False
llm-bert-base-uncased,3510071.27,-0.4549351251158481,False
llm-google-gemma-3-12b-pt,28002882.68,-0.8281336469286112,False
llm-google-gemma-3-1b-pt,7785774.7,-0.8755656108597284,False
llm-google-gemma-3-4b-pt,12751851.85,-0.8126373626373627,False
llm-meta-llama-Llama-3.1-8B,18589694.83,-0.8126373626373627,False
llm-meta-llama-Llama-3.2-1B,5482397.94,-0.8755656108597284,False
llm-meta-llama-Llama-3.2-3B,10595063.65,-0.8281336469286112,False
llm-sentence-transformers-all-MiniLM-L6-v2,2154210.85,-0.6102647352647352,False
qf-nan,64124019.99999999,0.1926645952300975,False
mscn-nan,232579206.0,-0.5700330720235178,False
alece-nan,67323868.0,-0.21326100370218015,False
price-nan,69512582.0,-0.43040293040293054,False
postgres-nan,653374.0,0.0,False
