label,time,error,filtered
alece-nan,52693562.0,1.75916133792425,False
llm-Qwen-Qwen3-Embedding-8B,72137255.95,2.7496804963609427,False
llm-meta-llama-Llama-3.1-70B,117640416.36,3.192377394743224,False
llm-meta-llama-Llama-3.1-8B,17159996.65,1.778584935392373,False
llm-meta-llama-Llama-3.2-3B,9640008.286666667,2.7706034806923294,False
price-nan,88866396.0,1.8869160842113117,False
aimai-nan,550136.6666666666,4.996024551978189,False
bao-nan,3058020.0,6.596355321820696,False
e2e-nan,13583576.666666666,10.579437509633955,False
llm-Qwen-Qwen3-Embedding-4B,39580658.5,3.8773882387708594,False
llm-answerdotai-ModernBERT-base,4909957.576666666,5.4967188593791265,False
llm-bert-base-uncased,3117254.3366666664,5.969144715978767,False
llm-google-gemma-3-12b-pt,25998732.849999998,4.317289032363212,False
llm-google-gemma-3-1b-pt,6970835.03,3.721280680154693,False
llm-google-gemma-3-27b-pt,47449474.276666656,4.308795959482904,False
llm-google-gemma-3-4b-pt,11608054.356666666,5.925773759907631,False
llm-meta-llama-Llama-3.2-1B,5017432.840000001,4.789557186659637,False
llm-sentence-transformers-all-MiniLM-L6-v2,1925354.9833333334,11.693119638735318,False
mscn-nan,31276888.0,15.290099756218014,False
qf-nan,55283788.0,5.888269206790551,False
PostgreSQL,,3.3663074245017097,False
llm-Qwen-Qwen3-Embedding-0.6B,8586767.863333333,17.12441376469884,True
