label,time,error,filtered
aimai-nan,594672.0,1.63,False
bao-nan,3530356.0,2.35,False
e2e-nan,14737320.000000002,2.78,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,2.63,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,2.93,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,1.77,False
llm-answerdotai-ModernBERT-base,5501065.52,2.24,False
llm-bert-base-uncased,3502641.27,2.46,False
llm-google-gemma-3-12b-pt,27979148.68,2.13,False
llm-google-gemma-3-1b-pt,7826370.7,2.35,False
llm-google-gemma-3-4b-pt,12652429.85,3.78,False
llm-meta-llama-Llama-3.1-8B,18531428.83,2.05,False
llm-meta-llama-Llama-3.2-1B,5503169.94,2.08,False
llm-meta-llama-Llama-3.2-3B,10615361.65,2.47,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,2.36,False
qf-nan,63045900.0,3.32,False
postgres-nan,594672.0,2.58,False
