label,time,error,filtered
aimai-nan,594672.0,49.15,False
bao-nan,3530356.0,491.73,False
e2e-nan,14737320.000000002,81.2,False
llm-Qwen-Qwen3-Embedding-0.6B,9506901.99,57.95,False
llm-Qwen-Qwen3-Embedding-4B,41968503.69,175.45,False
llm-Qwen-Qwen3-Embedding-8B,76354963.79,93.54,False
llm-answerdotai-ModernBERT-base,5501065.52,142.8,False
llm-bert-base-uncased,3502641.27,94.53,False
llm-google-gemma-3-12b-pt,27979148.68,34.56,False
llm-google-gemma-3-1b-pt,7826370.7,45.94,False
llm-google-gemma-3-4b-pt,12652429.85,893.46,False
llm-meta-llama-Llama-3.1-8B,18531428.83,17.33,False
llm-meta-llama-Llama-3.2-1B,5503169.94,53.8,False
llm-meta-llama-Llama-3.2-3B,10615361.65,46.16,False
llm-sentence-transformers-all-MiniLM-L6-v2,2068762.85,74.15,False
qf-nan,63045900.0,205.06,False
postgres-nan,594672.0,122.34,False
